Rank,"Admissions
(millions)",Title (year) (studio),Director(s)
1,225.7,Gone With the Wind (1939) (MGM),"Victor Fleming, George Cukor, Sam Wood"
2,194.4,Star Wars (Ep. IV: A New Hope) (1977) (Fox),George Lucas
3,156.4, The Sound of Music (1965) (Fox),Robert Wise
4,148.4,ET: The Extra-Terrestrial (1982) (Univ),Steven Spielberg
5,130.0,The Ten Commandments (1956) (Para),Cecil B. DeMille
7,126.3,Snow White and the Seven Dwarfs (1937) (BV),David Hand
6,121.7,Titanic (1997) (Fox),James Cameron
8,120.7,Jaws (1975) (Univ),Steven Spielberg
9,120.1,Doctor Zhivago (1965) (MGM),David Lean
10,117.1,101 Dalmatians (1961) (BV),"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman"
